pelicula,titulo_original,ano,director,generos,sinopsis,cartel,trailer,nota_filmaffinity_10,nota_imdb_10,tomatometer_100,popcornmeter_100,cine,fecha_hora,version,audio,subtitulos,formato,precio_eur,tipo_precio,tarifa_referencia,fuente,compra,consultado
Tiempo de victoria,Pressure,2026,Anthony Maras,"Guerra, Histórico, Suspense","En las horas previas al Día D, el meteorólogo James Stagg debe emitir un pronóstico crucial en medio de tensiones con el alto mando aliado. La decisión final recae en Dwight D. Eisenhower, quien debe elegir entre arriesgar la operación o retrasarla, con el destino de millones en juego.",https://pics.filmaffinity.com/pressure-334524291-large.jpg,https://www.filmaffinity.com/es/evideos.php?movie_id=177067,6.7,7.3,,,Cinemes Verdi + Verdi Park,2026-09-21T11:30:00+02:00,VO,en,es,Digital,5.4,published,"Lunes 5,90€; martes–viernes 8,50€; sábados, domingos y festivos 10€",https://barcelona.cines-verdi.com/,https://verdibcn.admit-one.eu/seats/220309/,2026-09-21T09:17:45.870590+02:00
Bad Apples,Bad Apples,2025,Jonatan Etzler,"Comedia, Suspense","Bad Apples es una sátira de suspense protagonizada por Saoirse Ronan. María, una maestra de primaria, lucha por controlar a una clase desbordada por un estudiante problemático. Cuando su carrera empieza a peligrar, toma decisiones equivocadas que la llevan a encerrar al niño en su casa.",https://pics.filmaffinity.com/bad_apples-396307235-large.jpg,https://www.youtube.com/watch?v=J6Y075CoJbE,7.0,7.2,,,Cinemes Verdi + Verdi Park,2026-09-21T11:30:00+02:00,VO,en,es,Digital,5.4,published,"Lunes 5,90€; martes–viernes 8,50€; sábados, domingos y festivos 10€",https://barcelona.cines-verdi.com/,https://verdibcn.admit-one.eu/seats/220310/,2026-09-21T09:17:45.870590+02:00
Mis queridísimos padres,Chers parents,2026,Emmanuel Patron,Comedia,"Tres hermanos acuden alarmados a la llamada urgente de sus padres y descubren que han ganado el premio gordo. La alegría se convierte en conflicto cuando los padres deciden no compartir el dinero, desatando tensiones familiares.",https://pics.filmaffinity.com/chers_parents-427869248-large.jpg,https://www.filmaffinity.com/es/evideos.php?movie_id=959467,5.2,5.6,,,Cinemes Verdi + Verdi Park,2026-09-21T11:30:00+02:00,VO,fr,es,Digital,5.4,published,"Lunes 5,90€; martes–viernes 8,50€; sábados, domingos y festivos 10€",https://barcelona.cines-verdi.com/,https://verdibcn.admit-one.eu/seats/220312/,2026-09-21T09:17:45.870590+02:00
El ser querido,El ser querido,2026,Rodrigo Sorogoyen,Drama,"Després d'anys de distanciament, un aclamat i tòxic director li ofereix a la seva filla un paper en el seu nou rodatge.",https://pics.filmaffinity.com/el_ser_querido-751969963-large.jpg,https://www.youtube.com/watch?v=ApdPm1KWUcc,7.3,7.2,85.0,,Cinemes Verdi + Verdi Park,2026-09-21T11:30:00+02:00,,es,,Digital,5.4,published,"Lunes 5,90€; martes–viernes 8,50€; sábados, domingos y festivos 10€",https://barcelona.cines-verdi.com/,https://verdibcn.admit-one.eu/seats/220311/,2026-09-21T09:17:45.870590+02:00
El ladrón de perros,El ladrón de perros,2024,Vinko Tomicic,Drama,"Martín, un joven huérfano que trabaja como limpiabotas en las calles de La Paz, Bolivia, decide robar el perro de su mejor cliente, un solitario sastre al que ha empezado a imaginar como su padre.",https://www.cinemamalda.com/wp-content/uploads/2026/08/el-ladron-de-perros-951668022-large-500x714.jpg,https://www.youtube.com/embed/3RcWWKw5LN4?feature=oembed,6.1,7.2,,,Cinema Maldà,2026-09-21T15:00:00+02:00,VO,es,,,,unknown,"Entrada por día: lun./mié. 5,90€; mar./jue./vie. 7,50€; sábados y festivos 9€",https://www.cinemamalda.com/,,2026-09-21T09:17:45.870590+02:00
Coyote vs. Acme,Coyote vs. Acme,2026,Dave Green,"Animación, Aventura, Comedia","Cansado de que los productos defectuosos de Acme arruinen sus planes, el Coyote contrata a un abogado para demandar a la corporación, ahora dirigida por un despiadado exjefe de su defensor. Juntos forjarán una inesperada amistad mientras luchan en los tribunales.",https://pics.filmaffinity.com/coyote_vs_acme-111030623-large.jpg,https://www.filmaffinity.com/es/evideos.php?movie_id=523116,6.9,7.5,96.0,95.0,Mooby Arenas de Barcelona,2026-09-21T15:30:00+02:00,Doblada,es,,Digital,,unknown,"L–J laborables 9€; mié./jue. 6,50€; vie./sáb./festivos 10€",https://www.filmaffinity.com/es/theater-showtimes.php?id=501,https://moobycinemas-arenas.admit-one.eu/?p=tickets&perfCode=191802&language=esp&theatre=24,2026-09-21T09:17:45.870590+02:00
La odisea,The Odyssey,2026,Christopher Nolan,"Acción, Fantasía","Tras la guerra de Troya, Odiseo se enfrenta un peligroso viaje de 10 años para regresar a Ítaca, superando dioses, monstruos y desafíos épicos. Mientras tanto, su esposa Penélope resiste a los pretendientes que amenazan su reino.",https://pics.filmaffinity.com/the_odyssey-225588139-large.jpg,https://www.youtube.com/watch?v=NUIIc9gZOcQ,7.6,8.4,,,Mooby Arenas de Barcelona,2026-09-21T15:30:00+02:00,Doblada,es,,Digital,,unknown,"L–J laborables 9€; mié./jue. 6,50€; vie./sáb./festivos 10€",https://www.filmaffinity.com/es/theater-showtimes.php?id=501,https://moobycinemas-arenas.admit-one.eu/?p=tickets&perfCode=191785&language=esp&theatre=24,2026-09-21T09:17:45.870590+02:00
Resident Evil,Resident Evil,2026,Zach Cregger,"Ciencia ficción, Suspense, Terror","Bryan, un mensajero médico, se ve atrapado inesperadamente en una noche de caos en la que la ciudad empieza a colapsar por una amenaza desconocida. Obligado a sobrevivir, deberá enfrentarse a una peligrosa carrera llena de acción mientras intenta escapar del horror que se desata a su alrededor.",https://pics.filmaffinity.com/resident_evil-107033013-large.jpg,https://www.filmaffinity.com/es/evideos.php?movie_id=579353,7.1,7.7,96.0,91.0,Mooby Arenas de Barcelona,2026-09-21T15:30:00+02:00,Doblada,es,,Digital,,unknown,"L–J laborables 9€; mié./jue. 6,50€; vie./sáb./festivos 10€",https://www.filmaffinity.com/es/theater-showtimes.php?id=501,https://moobycinemas-arenas.admit-one.eu/?p=tickets&perfCode=191328&language=esp&theatre=24,2026-09-21T09:17:45.870590+02:00
Un plan perfecto,Un plan perfecto,2026,María Pulido,"Comedia, Crimen","Al borde del desahucio en Navidad, la desastrosa familia Ibáñez descubre en su sótano un túnel secreto que conduce directamente al banco de enfrente. Con la ayuda de un veterano ladrón retirado, deciden completar la excavación para dar el golpe de sus vidas.",https://pics.filmaffinity.com/un_plan_perfecto-304130541-large.jpg,https://www.youtube.com/watch?v=S3XKI4VXrUQ,3.3,5.0,,,Mooby Arenas de Barcelona,2026-09-21T15:30:00+02:00,,es,,Digital,,unknown,"L–J laborables 9€; mié./jue. 6,50€; vie./sáb./festivos 10€",https://www.filmaffinity.com/es/theater-showtimes.php?id=501,https://moobycinemas-arenas.admit-one.eu/?p=tickets&perfCode=191782&language=esp&theatre=24,2026-09-21T09:17:45.870590+02:00
Coyote vs. Acme,Coyote vs. Acme,2026,Dave Green,"Animación, Aventura, Comedia","Cansado de que los productos defectuosos de Acme arruinen sus planes, el Coyote contrata a un abogado para demandar a la corporación, ahora dirigida por un despiadado exjefe de su defensor. Juntos forjarán una inesperada amistad mientras luchan en los tribunales.",https://pics.filmaffinity.com/coyote_vs_acme-111030623-large.jpg,https://www.filmaffinity.com/es/evideos.php?movie_id=523116,6.9,7.5,96.0,95.0,Mooby Glòries,2026-09-21T15:30:00+02:00,Doblada,es,,Digital,,unknown,"L–J laborables 9€; mié./jue. 6,50€; vie./sáb./festivos 10€",https://www.filmaffinity.com/es/theater-showtimes.php?id=226,https://moobycinemas-glorias.admit-one.eu/?p=tickets&perfCode=120629&language=esp&theatre=25,2026-09-21T09:17:45.870590+02:00
